Индекс,Автор,Ссылка,Название,Год,Средний_балл,Проголосовало,Баллы,Описание,Жанр
9,Вениамин Каверин,https://www.100bestbooks.ru/item_info.php?id=517,Два капитана,1938,1.48,4647,6900,"С детских лет Саня Григорьев умел добиваться успеха в любом деле. Он вырос мужественным и храбрым человеком. Мечта разыскать остатки экспедиции капитана Татаринова привела его в ряды летчиков—полярников. Жизнь капитана Григорьева полна героических событий: он летал над Арктикой, сражался против фашистов. Его подстерегали опасности, приходилось терпеть временные поражения, но настойчивый и целеустремленный характер героя помогает ему сдержать данную себе еще в детстве клятву: «Бороться и искать, найти ине сдаваться».",О любви
10,"Григорий Белых, Л. Пантелеев",https://www.100bestbooks.ru/item_info.php?id=2315,Республика ШКИД,1926,1.97,3485,6898,"Эта книга была первой для двух молодых авторов. Она была издана в 1927 г. Один из них - Григорий Белых - безвременно погиб. Другой - Л. Пантелеев - стал известным детским писателем. Его книги - ""Часы"", ""Пакет"", ""Честное слово"", ""Лёнька Пантелеев"", ""Рассказы о Кирове"" и многие, многие другие - популярны у нас в стране и переведены на многие языки мира.",Биография
12,Александр Грин,https://www.100bestbooks.ru/item_info.php?id=540,Алые паруса,1916,1.26,5111,6482,"Александр Грин создал в своих произведениях свой особенный мир. В этом мире веет ветер дальних странствий, его населяют добрые, смелые, веселые люди. А в залитых солнцем гаванях с романтическими названиями — Лисс, Зурбаган, Гель-Гью — прекрасные девушки поджидают своих женихов. В этот мир — чуть приподнятый над нашим, одновременно фантастический и реальный, мы и приглашаем читателей.",Неоромантизм
13,Лев Толстой,https://www.100bestbooks.ru/item_info.php?id=2138,Кавказский пленник,1872,1.87,3327,6226,"В 1851 году старший брат Николай уговорил Льва Толстого ехать на Кавказ, где шла тогда русско-чеченская война. Поначалу Кавказ не оказал на него того «живительного воздействия», на которое он рассчитывал. 11 июня 1851 года Толстой записал в дневнике: «Уже дней пять я живу здесь и одержим уже давно забытой мною ленью. Дневник вовсе бросил. Природа, на которую я больше всего надеялся, имея намерение ехать на Кавказ, не представляет до сих пор ничего завлекательного. Лихость, которая, я думал, развернется во мне здесь, тоже не оказывается».  Тем не менее, в январе 1852 года писатель поступил в артиллеристы и участвовал во многих сражениях. В свободное время он работал над повестью. На Кавказе Толстой продолжил составлять для себя «правила» и «планы» (этим он начал заниматься ещё в Петербурге): «Будь прям, хотя и резок, но откровенен со всеми, но не детски откровенен без необходимости. Воздерживайся от вина и женщин…»  Впрочем, исполнять свои правила Толстому было труднее, чем составлять их. Временами его охватывали сомнения в собственных силах, временами он верил в своё высокое призвание, а временами просто отдавался своим излюбленным увлечениям, из которых одно из первых мест занимала охота. Очень показательна дневниковая запись от 28 августа 1852 года: «Мне 24 года; а я еще ничего не сделал. Я чувствую, что недаром вот уже восемь лет, что я борюсь с сомнением и страстями. Но на что я назначен? Это откроет будущность. Убил трех бекасов». ",О войне
16,Рэй Брэдбери,https://www.100bestbooks.ru/item_info.php?id=133,451 градус по Фаренгейту,1953,1.19,4749,5669,"Пожарные, которые разжигают пожары, книги, которые запрещено читать, и люди, которые уже почти перестали быть людьми… Роман Рэя Брэдбери «451° по Фаренгейту» — это классика научной фантастики.",Классика
17,Жюль Верн,https://www.100bestbooks.ru/item_info.php?id=140,Таинственный остров,1874,1.53,3693,5655,"Во времена гражданской войны в США пятеро смельчаков-северян спасаются от плена на воздушном шаре. Страшная буря выбрасывает их на берег необитаемого острова. Отвага и таланты новых поселенцев острова помогают им обустроить свою жизнь, не испытывая нуждыни в еде, ни в одежде, ни в тепле и уюте. Мирное пребывание «робинзонов» на острове нарушает угроза нападения пиратов, но какая-то таинственная сила помогает им в самых сложных ситуациях.",Приключения
19,Марк Твен,https://www.100bestbooks.ru/item_info.php?id=2193,Принц и нищий,1880,1.98,2428,4812,"Молодой принц, наследник английского престола, желая «немного поразвлечься», меняется местами с похожим на него как две капли воды нищим. Очень скоро принц понимает, что жизнь бедного мальчика из трущоб совсем не так беззаботна, как он себе представлял, однако совершить обратное «превращение» оказывается не так-то просто.  Принцу предстоит взглянуть изнутри на свое королевство и заново заслужить уважение своих подданных, на этот раз поступками, а не происхождением.",История
20,Джером Д. Сэлинджер,https://www.100bestbooks.ru/item_info.php?id=6,Над пропастью во ржи,1951,0.91,5158,4737,"""Над пропастью во ржи"" - самая знаменитая повесть Дж.Д.Сэлинджера, принесшая автору грандиозный успех и необычайную популярность как в США, так и во всем мире. Современники приняли эту книгу как откровение. Молодые люди видели в главном герое повести, шестнадцатилетнем Холдене Колфилде выразителя своих взглядов и настроений, иммпонировали его наивность и жажда правды, противостоящие лицемерию и фальши, царящим в обществе. Откровенная история подростка Холдена Колфилда, рассказанная им самим, и по сей день не оставляет равнодушными сердца юных читателей, вступающих в жизнь.  Его трагедия была в том, что, когда он пытался вступить в род человеческий, не было там рода человеческого. У.Фолкнер",Психология
21,Антон Макаренко,https://www.100bestbooks.ru/item_info.php?id=5374,Педагогическая поэма,1931,2.35,1803,4251,"«Педагогическая поэма» — широко известное и наиболее значительное произведение советского педагога и писателя А.С. Макаренко. В ней рассказывается о перевоспитании несовершеннолетних правонарушителей в детской трудовой колонии, создателем и руководителем которой в 20-е годы был автор. Книга адресована широкому кругу читателей. ",Повесть
22,Валентин Распутин,https://www.100bestbooks.ru/item_info.php?id=4344,Уроки французского,1973,2.03,1868,3809,"""Уроки французского"" - одно из лучших произведений Валентина Распутина. Казалось бы, как далеки от нас трудные, голодные послевоенные годы и события, описываемые в рассказе. Но почему же и сегодня мы примериваем на себя поступки его героев? Каждый день мы встречаем людей, нуждающихся в нашей помощи, но часто оказываемся не готовыми делать добро. Может быть, не хватает сил переступить общественные каноны, может, оттого, что живем по инерции, не желая взглянуть на жизнь другими глазами…  Героиня рассказа ""Уроки французского"" - молоденькая учительница французского языка - Лидия Михайловна одна лишь увидит, как нелегко живется вдали от дома и семьи ее талантливому, но полуголодному ученику. Испробовав все открытые способы помочь ему, она решится, по словам директора школы, на ""преступление"" - отважится играть с мальчишкой в ""пристенок"" на деньги. Иначе принимать помощь ребенку кажется унизительным. Что означал этот ее поступок в те времена? Чем это обернулось для самой учительницы? Как оценивал мотивы ее действий тот мальчишка? Об этом вспоминает через много лет герой, немало переживший и постепенно для себя самого осознавший смысл этих ""уроков"" - уроков человечности, доброты и сострадания.  Мало кто знает, что, несмотря на вымышленность событий, прототип образа главной героини существовал. Лидия Михайловна Молокова в те послевоенные времена вела уроки французского в школе, где учился будущий писатель Валентин Распутин.",Рассказ
23,Анатолий Рыбаков,https://www.100bestbooks.ru/item_info.php?id=2329,Кортик,1947,1.72,2163,3721,"Герои Анатолия Рыбакова – обычные московские школьники. Наблюдательность и любопытство арбатских мальчишек Миши, Генки и Славки не дают им скучать, они предпочитают жизнь насыщенную и беспокойную. Загадка старинного кортика увлекает ребят в приключения, полные таинственных событий и опасностей.",Повесть
24,Жюль Верн,https://www.100bestbooks.ru/item_info.php?id=486,Пятнадцатилетний капитан,1878,1.6,2303,3687,"В романе описываются приключения пассажиров китобойного брига «Пилигрим», почти весь экипаж которого погиб в результате схватки с китом. Командование принимает пятнадцатилетний юнга, а кок, оказавшийся агентом рабовладельцев, обманом изменил курс корабля так, что вместо Южной Америки бриг прибыл в Африку.",Роман
25,Чарльз Диккенс,https://www.100bestbooks.ru/item_info.php?id=2328,Приключения Оливера Твиста,1838,1.53,2358,3619,"В романе великого английского писателя Чарльза Диккенса (1812-1870) ""Приключения Оливера Твиста"" рассказывается история мальчика, рождённого в доме презрения и обречённого на голод и скитания по мрачным трущобам Лондона.",Приключения
26,Иван Ефремов,https://www.100bestbooks.ru/item_info.php?id=2451,Час быка,1970,2.36,1429,3384,"«Час Быка́» — социально-философский научно-фантастический роман Ивана Антоновича Ефремова о путешествии людей будущего, уроженцев коммунистической Земли, на планету Торманс, где некогда бежавшие с Земли люди создали несправедливое статичное олигархическое общество. Написан в 1968 году, первоначально издавался в отцензурированном варианте.",Роман
27,Джон Толкиен,https://www.100bestbooks.ru/item_info.php?id=31,Властелин колец,1954,0.48,6514,3137,"Трилогия «Властелин Колец» бесспорно возглавляет список «культовых» книг XX века. Ее автор, Дж. Р. Р. Толкин, профессор Оксфордского университета, специалист по древнему и средневековому английскому языку, создал удивительный мир — Средиземье, который вот уже без малого пятьдесят лет неодолимо влечет к себе миллионы читателей. Там, в Средиземье, в стране, управляемой советом волшебников, где в серебряных лесах поют эльфы, в глубоких пещерах добывают драгоценный мифрил гномы, а бескорыстие добрых чародеев постоянно подвергается испытаниям, — разгорается битва Света и Тьмы, исход которой, по воле провидения, зависит от самых маленьких жителей — Хоббитов. История Кольца Всевластья послужила основой множеству телевизионных и театральных постановок, мультфильмов, компьютерных игр и комиксов. Тысячи людей по всему миру ежегодно собираются для участия в ролевых играх, основанных на сюжетах, взятых у Толкина. Эпопею Толкина, как миф, можно интерпретировать по-разному — и как повествование о бывших или будущих событиях, и как притчу, и как аллегорию, и как историю духовного восхождения, и как фантастику, — все толкования будут верны, но ни одно не станет полным. Впервые роман был опубликован в 1954—1955 годах лондонским издательством Allen & Unwin. Роман был опубликован в трех томах (Братство кольца / Две крепости / Возвращение Короля), что вызвало некоторое неудовольствие Толкина, который был против подобного разделения. Переведён, по меньшей мере, на 38 языков. Впервые все части романа были объединены в одном томе в 1968 году, в это издание Толкином были внесены некоторые изменения.",Сказка
28,Рэй Брэдбери,https://www.100bestbooks.ru/item_info.php?id=2442,Марсианские хроники,1950,1.78,1667,2978,"«Марсианские хроники»: странный изменчивый мир, населенный загадочными, неуловимыми обитателями…",Постапокалипсис
29,Джоан Роулинг,https://www.100bestbooks.ru/item_info.php?id=8,Серия книг о Гарри Поттере,1997,0.36,7445,2749,"Серия из 7 книг о юном волшебнике Гарри Поттере.1) Гарри Поттер и философский камень (Harry Potter and the Philosopher's Stone), 19972) Гарри Поттер и тайная комната (Harry Potter and the Chamber of Secrets), 19983) Гарри Поттер и узник Азкабана (Harry Potter and the Prisoner of Azkaban), 19994) Гарри Поттер и Кубок огня (Harry Potter and the Goblet of Fire), 20005) Гарри Поттер и Орден Феникса (Harry Potter and the Order of the Phoenix), 20036) Гарри Поттер и Принц-полукровка (Harry Potter and the Half-Blood Prince), 20057) Гарри Поттер и Дары Смерти (Harry Potter and the Deathly Hallows), 2007",Приключения
31,Владимир Обручев,https://www.100bestbooks.ru/item_info.php?id=6982,Плутония,1915,3.07,825,2534,"Владимир Афанасьевич Обручев – русский, советский писатель, ученый-географ с мировым именем, исследователь Сибири и Средней Азии, академик АН СССР. Его роман «Плутония» – увлекательная история о путешествии в земные недра, в удивительную страну Плутонию, где перемешались различные минувшие геологические эпохи, и сохранился животный и растительный мир, давно исчезнувший с поверхности Земли. ",Приключения
32,Джеймс Олдридж,https://www.100bestbooks.ru/item_info.php?id=14558,Последний дюйм,1957,1.67,1344,2246,"У опытного летчика Бена последнее время жизнь не очень-то ладится: египетская компания отказалась от его услуг, жена бросила, а со своим десятилетним сыном он никак не может наладить контакт. Чтобы подзаработать денег на подводной съемке акул, Бен отправляется на самолете к отдаленной бухте Красного моря. В опасное путешествие он берет с собой мальчика, даже не подозревая, какая трагедия разыграется под палящим африканским солнцем.",Драма
33,Уильям Голдинг,https://www.100bestbooks.ru/item_info.php?id=470,Повелитель мух,1954,1.49,1494,2231,"Роман-антиутопия, повествующий о группе детей, оказавшихся на необитаемом острове после автокатастрофы. Автор раскрывает схему социального взаимодействия людей, у которых еще не сформировались понятия о добре- зле, справедливости и пр.  Порою эта незрелость приводит к неоправданной жестокости. При этом, все действие пронизано глубоким символизмом (жертвоприношение, своя ""Религия"" и т.д.) За этот роман Голдинг был удостоен Нобелевской премии по литературе.",Детская литература
34,Валентин Пикуль,https://www.100bestbooks.ru/item_info.php?id=5551,Мальчики с бантиками,1985,2.27,969,2205,"«Мальчики с бантиками» – автобиографическая повесть о жизни обитателей Соловецких островов в стенах Школы юнг, где автор выступает в роли главного героя под именем Савки Огурцова.",История
35,Борис Васильев,https://www.100bestbooks.ru/item_info.php?id=3036,Завтра была война,1984,1.49,1450,2168,"Драматическая повесть о поколении, оказавшемся на пороге взрослой жизни. Действие происходит в канун Отечественной войны в провинциальном городке. Юным героям, открытым для дружбы и любви, приходится столкнуться с политическим фанатизмом, предательством и ложью, пережить страшные потери. Но они сумеют сохранить душевную чистоту и верность идеалам. И именно такие, как они, защитят Родину в боях Отечественной войны…",Повесть
38,Герман Гессе,https://www.100bestbooks.ru/item_info.php?id=3469,Демиан,1919,2.09,971,2035,"Едва появившись на книжном рынке в 1919 г., роман крупнейшего прозаика, поэта, эссеиста, одного из классиков немецкой и мировой литературы Германа Гессе «Демиан» сразу завоевал огромную популярность. Томас Манн писал: «Незабываемо электризующее действие, вызванное вскоре после Первой мировой войны романом “Демиан”, произведением, которое с беспощадной точностью задело нерв эпохи и вызвало благодарное восхищение целого поколения молодежи…»",Роман
39,Рафаэль Сабатини,https://www.100bestbooks.ru/item_info.php?id=4171,Одиссея Капитана Блада,1922,1.1,1656,1835,"Осуждённый за преступление, которого он не совершал, и проданный в рабство своим же соотечественникам, он дерзко возвращает себе свободу. Перед ним трепещет все Карибское море, а он страдает при мысли о том, что «пират и убийца» обречён на презрение любимой девушки. И кто бы мог предположить, что человеку, поставившему себя вне закона, предложат кресло губернатора острова Ямайки?  «Потеряв ещё несколько драгоценных минут, батареи наконец открыли огонь. Прозвучал ужасающей силы бортовой залп «Арабеллы», поднимавшей все свои паруса. Взбешённые испанцы на мгновение увидели её красный корпус, освещённый огромной вспышкой огня. Скрип фалов утонул в грохоте залпа, и «Арабелла» исчезла, как призрак». Роман «Одиссея капитана Блада», оказался настолько популярен, что Сабатини написал еще две книги-продолжения: «Хроника капитана Блада» и «Удачи капитана Блада».",Классика
43,Рувим Фраерман,https://www.100bestbooks.ru/item_info.php?id=7136,"Дикая собака Динго, или Повесть о первой любви",1939,2.64,560,1481,"Повесть «Дикая собака Динго» давно вошла в золотой фонд советской детской литературы. Это лирическое, полное душевной теплоты и света произведение о товариществе и дружбе, о нравственном взрослении подростков.",О любви
44,Павел Санаев,https://www.100bestbooks.ru/item_info.php?id=778,Похороните меня за плинтусом,1995,0.61,1891,1161,"Повесть о 9-летнем мальчике Саше Савельеве. Он живет у бабушки с дедушкой, потому что бабушка не доверяет воспитание ребенка своей дочери. Она осуждает «беспутную» дочь, нашедшую нового мужа, считает его «бездарным художником», «карликом-кровопийцей» и «алкашом». На первый взгляд, бабушка предстает перед нами настоящим тираном, но, продвигаясь вглубь рассказа, мы понимаем, что это совсем не так…",Автобиография
45,Валентина Осеева,https://www.100bestbooks.ru/item_info.php?id=832,Динка,1959,1.4,788,1110,"В книге, ставшей любимой для многих поколений детей, рассказывается о детстве Динки, о ее крепкой дружбе с сиротой Ленькой и приключениях, которые они вместе переживают. Добрая и искренняя, взбалмошная и неугомонная Динка навсегда притягивает и очаровывает читателя. ",О любви
46,Джон Толкиен,https://www.100bestbooks.ru/item_info.php?id=2352,"Хоббит, или Туда и обратно",1937,0.29,3160,932,"Повесть – сказка Дж. Р. Р. Толкина `Хоббит` является своего рода вступлением к трилогии `Властелин Колец`. Смешная и увлекательная, первоначально адресованная детям, она тем не менее вводит нас в сложный и многообразный толкиновский мир, подробно описанный на страницах трилогии. Предлагаемый читателю перевод выполнен с максимальным учетом связей между повестью и трилогией. Перевод снабжен подробными комментариями, раскрывающими лингвистические, мифологические и философские аспекты мира Толкина.",Приключения
47,Диана Сеттерфилд,https://www.100bestbooks.ru/item_info.php?id=3243,Тринадцатая сказка,2006,1.47,436,641,"Впервые на русском – «Тринадцатая сказка» Дианы Сеттерфилд – признанный шедевр современной английской прозы, книга, открывшая для широкой публики жанр «неоготики» и заставившая англо-американских критиков заговорить о возвращении золотого века британского романа, овеянного именами Шарлотты Бронте и Дафны дю Морье. Дебютный роман скромной учительницы, права на который были куплены за небывалые для начинающего автора деньги (800 тысяч фунтов за британское издание, миллион долларов – за американское), обогнал по продажам бестселлеры последних лет, был моментально переведен на несколько десятков языков и удостоился от рецензентов почетного имени «новой „Джейн Эйр”».",Детектив
48,Сьюзен Коллинз,https://www.100bestbooks.ru/item_info.php?id=7612,Голодные Игры,2008,1.11,518,579,"Трилогия американской писательницы Сьюзен Коллинз. В трилогию входят романы «Голодные игры» 2008 года, «И вспыхнет пламя» 2009 года и «Сойка-пересмешница» 2010 года. Действие происходит в постапокалиптическом мире Панем (англ. Panem), расположенном на территории бывшей Северной Америки. После неизвестной глобальной катастрофы возник город-государство Капитолий, вокруг которого сосредоточены двенадцать округов — дистриктов, снабжающих столицу разнообразным сырьем. Весьма характерно описано классовое деление Панема: богатые жители Капитолия шикуют за счёт бедных, голодающих и угнетённых жителей дистриктов (причем не всех, от чего ситуация выглядит более остро). Около 74 лет назад от описываемых в романах событий, недовольные таким положением вещей жители Дистрикта-13 восстали. Бунт был жестоко подавлен, дистрикт официально уничтожен, и в память об этом (и в назидание другим дистриктам) Капитолий устраивает ежегодный развлекательный турнир — Голодные игры.",Приключения
49,Леонид Габышев,https://www.100bestbooks.ru/item_info.php?id=12260,Одлян или Воздух свободы,1989,1.21,294,357,"У Габышева есть два дара - рассказчика и правды, один от природы, другой от человека. Его повествование - о зоне. Воздухом зоны вы начинаете дышать с первой страницы и с первых глав, посвященных еще вольному детству героя. Здесь все - зона, от рождения. Дед - крестьянин, отец - начальник милиции, внук - зек. Центр и сердце повести - колония для несовершеннолетних Одлян. Одлян - имя это станет нарицательным, я уверен. Это детские годы крестьянского внука, обретающего свободу в зоне, постигающего ее смысл, о котором слишком многие из нас, проживших на воле, и догадки не имеют. Важно и то, что время не удалено от нас, мы его еще хорошо помним. Это конец 60-х - начало 70-х, когда страна погружалась во все более глубокий сон. Я не хочу опережать повесть пересказом - прочтите. Прочтите и сравните свой сон с реальностью.",Психология
50,Валентина Осеева,https://www.100bestbooks.ru/item_info.php?id=2334,Васёк Трубачёв и его товарищи,1947—1951,0.75,1881,1426,"Герои трилогии «Васёк Трубачёв и его товарищи» жили, учились, озорничали, дружили и ссорились несколько десятилетий назад, но тем интереснее совершить путешествие на «машине времени» и заглянуть в их мир. Вот только безоблачная пора детства для Трубачёва и его друзей оказалась слишком короткой: её оборвала Великая Отечественная война.",О войне
52,Кир Булычев,https://www.100bestbooks.ru/item_info.php?id=10808,Подземелье ведьм,1987,1.22,985,1204,"Вторая часть приключений Андрея Брюса Это истории о приключениях человека, который не любил приключений. Истории о подвигах героя, ненавидевшего геройство. Истории о космических странствиях легендарного агента КФ – Андрея Брюса, истории контактов с внеземными цивилизациями и войн с жестокимипришельцами – `чужими`. Истории, в которых есть все, что должно быть в действительно хорошей фантастике, – погони и сражения, дружба и отвага, блестящий юмор, точная, глубокая мысль – и свободный полет неподражаемой фантазии Кира Булычева…",Приключения
53,Александр Житинский,https://www.100bestbooks.ru/item_info.php?id=17758,Часы с вариантами,1985,1.27,568,725,"Хроноопера А. Н. Житинского «Часы с вариантами»  издана в 1985 в СССР. В том же 1985 году в США на экраны выходит американский фильм «Назад в будущее». Тема у них одна — попытка обычного человека, совсем не супермена устроить настоящее и будущее своё и своих близких. Заветная мечта каждого — прожить какие-то моменты своей жизни еще раз, как бы начисто, поступая в них по-новому, так, как видится правильным по прошествии времени. Автор мастерски изобразил именно такой случай. — И что из этого может выйти у обыкновенного человека...",Фантастика
54,Галина Щербакова,https://www.100bestbooks.ru/item_info.php?id=7419,Вам и не снилось (Роман и Юлька),1979,0.75,847,637,"В книгу Галины Щербаковой вошли повести, ставшие бестселлерами. Они о жизни подростков: о радостях и невзгодах первой любви, о сложных взаимоотношениях с родителями и учителями, о настоящей дружбе и предательстве... Рассказанные автором истории заставляют читателя улыбаться, плакать, размышлять о жизни и о себе.  Повесть была экранизирована режиссёром Ильей Фрэзом под названием «Вам и не снилось»",О любви
56,Маркус Зузак,https://www.100bestbooks.ru/item_info.php?id=7727,Книжный Вор,2006,2.56,208,534,"Январь 1939 года. Германия. Страна, затаившая дыхание. Никогда еще у смерти не было столько работы. А будет еще больше.  Мать везет девятилетнюю Лизель Мемингер и ее младшего брата к приемным родителям под Мюнхен, потому что их отца больше нет — его унесло дыханием чужого и странного слова «коммунист», и в глазах матери девочка видит страх перед такой же судьбой. В дороге смерть навещает мальчика и впервые замечает Лизель.  Так девочка оказывается на Химмельштрассе — Небесной улице. Кто бы ни придумал это название, у него имелось здоровое чувство юмора. Не то чтобы там была сущая преисподняя. Нет. Но и никак не рай.  «Книжный вор» — недлинная история, в которой, среди прочего, говорится: об одной девочке; о разных словах; об аккордеонисте; о разных фанатичных немцах; о еврейском драчуне; и о множестве краж. Это книга о силе слов и способности книг вскармливать душу.",Современная проза
57,Тамара Крюкова,https://www.100bestbooks.ru/item_info.php?id=18085,Телепат,2007,2.21,232,513,"Волею случая в руки Олега Воропаева попадает компьютерная программа, благодаря которой он обретает уникальные способности предвидеть будущее и читать чужие мысли. Казалось бы, подобный дар открывает большие перспективы, но реальность оказывается далеко не столь радужной. За Олегом начинает охоту владелец таинственной программы, но еще больше парня страшат странные метаморфозы, которые происходят с его сознанием.",Фантастика
58,Терри Пратчетт,https://www.100bestbooks.ru/item_info.php?id=17759,Джонни и бомба,1996,1.06,441,468,"Джонни Максвелл находит приключение на свою голову. Казалось бы, ну кому какое дело до старой безумной нищенки, померла и померла. Ну или если еще жива, так это ненадолго. Нет, надо проявить человеколюбие, знаете ли. А каков результат? Джонни и его друзья проваливаются в прошлое, в маленький английский городок аккурат перед тем, как эскадрилья немецких бомбардировщиков, сбившихся с пути, приветливо распахнули над ним свои бомболюки. Воистину, ни одно доброе дело не останется безнаказанным!",Фантастика
61,Жюль Верн,https://www.100bestbooks.ru/item_info.php?id=21035,Путешествия и приключение капитана Гатерраса,1865,4.8,77,370,Об экспедиции на Северный полюс,Роман
64,Джеймс Дашнер,https://www.100bestbooks.ru/item_info.php?id=15318,Бегущий в лабиринте,2009,2.21,101,224,"Представьте себе ровное, как стол место, вымощенное камнем. Вокруг него высоченные стены. За стенами - Лабиринт. В Лабиринте живут жуткие существа - гриверы. А в центре, на том самом ровном столе - в Приюте - уже два года живут пять десятков мальчишек. Они не помнят, кто они, они не знают, почему оказались в Приюте, они знают лишь, что им надо отсюда вырваться. В отличие от ""Повелителя мух"" Голдинга, мальчишки здесь не передрались и не поубивали друг друга. Они образовали коммуну, где от каждого по способностям, и пытаются найти выход из Лабиринта. К сожалению, пока безуспешно. Бал правят гриверы и кушают мальчиков за милую душу. И вот в Приюте появляется сначала таинственный паренек Томас, а вслед за ним еще более таинственная девушка невероятной красоты...   Вырвутся или нет они из Лабиринта? Какой ценой? И за каким вообще чертом их туда засунули? ",Фантастика
65,Константин Бадигин,https://www.100bestbooks.ru/item_info.php?id=21016,Путь на Грумант,1953,4.37,51,223,"Об истории русского северного мореплавания, о шестилетней зимовке во льдах на архипелаге Грумант (Шпицберген), о природе Северного Ледовитого океана и Арктики",Приключения
